"index","batch_size","dropout_rate","epochs","loss","model__activation","optimizer","optimizer__learning_rate","result"
"0","16","0.2","10","binary_crossentropy","softmax","Adadelta","0.0001","0.5059999823570251"
"1","16","0.2","10","binary_crossentropy","softmax","Adadelta","0.001","0.5189999938011169"
"2","16","0.2","10","binary_crossentropy","softmax","Adadelta","0.01","0.5019999742507935"
"3","16","0.2","10","binary_crossentropy","softmax","Adadelta","0.1","0.8109999895095825"
"4","16","0.2","10","binary_crossentropy","softmax","Adam","0.0001","0.8939999938011169"
"5","16","0.2","10","binary_crossentropy","softmax","Adam","0.001","0.8560000061988831"
"6","16","0.2","10","binary_crossentropy","softmax","Adam","0.01","0.8389999866485596"
"7","16","0.2","10","binary_crossentropy","softmax","Adam","0.1","0.5099999904632568"
"8","16","0.2","10","binary_crossentropy","softmax","Adamax","0.0001","0.7889999747276306"
"9","16","0.2","10","binary_crossentropy","softmax","Adamax","0.001","0.8730000257492065"
"10","16","0.2","10","binary_crossentropy","softmax","Adamax","0.01","0.8550000190734863"
"11","16","0.2","10","binary_crossentropy","softmax","Adamax","0.1","0.703000009059906"
"12","16","0.2","10","binary_crossentropy","softmax","Nadam","0.0001","0.8889999985694885"
"13","16","0.2","10","binary_crossentropy","softmax","Nadam","0.001","0.8389999866485596"
"14","16","0.2","10","binary_crossentropy","softmax","Nadam","0.01","0.8320000171661377"
"15","16","0.2","10","binary_crossentropy","softmax","Nadam","0.1","0.5099999904632568"
"16","16","0.2","10","binary_crossentropy","sigmoid","Adadelta","0.0001","0.5099999904632568"
"17","16","0.2","10","binary_crossentropy","sigmoid","Adadelta","0.001","0.5680000185966492"
"18","16","0.2","10","binary_crossentropy","sigmoid","Adadelta","0.01","0.5019999742507935"
"19","16","0.2","10","binary_crossentropy","sigmoid","Adadelta","0.1","0.8230000138282776"
"20","16","0.2","10","binary_crossentropy","sigmoid","Adam","0.0001","0.8809999823570251"
"21","16","0.2","10","binary_crossentropy","sigmoid","Adam","0.001","0.8550000190734863"
"22","16","0.2","10","binary_crossentropy","sigmoid","Adam","0.01","0.8429999947547913"
"23","16","0.2","10","binary_crossentropy","sigmoid","Adam","0.1","0.5059999823570251"
"24","16","0.2","10","binary_crossentropy","sigmoid","Adamax","0.0001","0.7820000052452087"
"25","16","0.2","10","binary_crossentropy","sigmoid","Adamax","0.001","0.8799999952316284"
