"reviewId","content","lowercased","cleaned","slang_handled","stopword_removed","stemmed","tokenized","score"
"f3a86f36-3c46-4cfe-970c-a0ff9594aa36","Apk nya berat bikin hp hank","apk nya berat bikin hp hank","apk nya berat bikin hp hank","apk nya berat bikin hp hank","apk nya berat bikin hp hank","apk nya berat bikin hp hank","['apk', 'nya', 'berat', 'bikin', 'hp', 'hank']","1.0"
"2f7ec4f8-3e9b-46e5-a41f-23b5190f6fd6","Gimana sih grab masak promo grabfood tulisannya untuk 3X pesanan tapi baru dipakai sekali doang trus yang 2X promo kemana????😤😤 Lama² customernya dikit klu begini caranya","gimana sih grab masak promo grabfood tulisannya untuk 3x pesanan tapi baru dipakai sekali doang trus yang 2x promo kemana????😤😤 lama² customernya dikit klu begini caranya","gimana sih grab masak promo grabfood tulisannya untuk  x pesanan tapi baru dipakai sekali doang trus yang  x promo kemana     lama² customernya dikit klu begini caranya","bagaimana sih grab masak promo grabfood tulisannya untuk kali pesanan tapi baru dipakai sekali doang terus yang kali promo kemana lama² customernya dikit kalau begini caranya","bagaimana sih grab masak promo grabfood tulisannya kali pesanan baru dipakai sekali doang terus kali promo lama² customernya dikit kalau begini caranya","bagaimana sih grab masak promo grabfood tulis kali pesan baru pakai sekali doang terus kali promo lama customernya dikit kalau begini cara","['bagaimana', 'sih', 'grab', 'masak', 'promo', 'grabfood', 'tulis', 'kali', 'pesan', 'baru', 'pakai', 'sekali', 'doang', 'terus', 'kali', 'promo', 'lama', 'customernya', 'dikit', 'kalau', 'begini', 'cara']","1.0"
"132a15bb-1e37-4b8c-adfb-817128499397","Kecewa sama aplikasi grab ini","kecewa sama aplikasi grab ini","kecewa sama aplikasi grab ini","kecewa sama aplikasi grab ini","kecewa sama aplikasi grab","kecewa sama aplikasi grab","['kecewa', 'sama', 'aplikasi', 'grab']","1.0"
"8d0122ec-8a8a-498e-92b8-28e435d8c3a9","Kata'a transportasi murah n nyaman,,tpi nyata'a skrang mahal(parah),,,ga usah bgni cara'a klo mwu cari untung,,,kasian sma pegawai anda yg berada d jlan..mereka bertaruh nyawa d jalanan buat menghidupi kluarga'a dan kasian juga sma pelanggan,,penghasilan dya ga seberapa hrus bayar ongkos mahal...","kata'a transportasi murah n nyaman,,tpi nyata'a skrang mahal(parah),,,ga usah bgni cara'a klo mwu cari untung,,,kasian sma pegawai anda yg berada d jlan..mereka bertaruh nyawa d jalanan buat menghidupi kluarga'a dan kasian juga sma pelanggan,,penghasilan dya ga seberapa hrus bayar ongkos mahal...","kata a transportasi murah n nyaman  tpi nyata a skrang mahal parah    ga usah bgni cara a klo mwu cari untung   kasian sma pegawai anda yg berada d jlan  mereka bertaruh nyawa d jalanan buat menghidupi kluarga a dan kasian juga sma pelanggan  penghasilan dya ga seberapa hrus bayar ongkos mahal","kata a transportasi murah n nyaman tapi nyata a sekarang mahal parah enggak usah begini cara a kalo mwu cari untung kasihan sama pegawai anda yang berada di jlan mereka bertaruh nyawa di jalanan buat menghidupi keluarga a dan kasihan juga sama pelanggan penghasilan dia enggak seberapa harus bayar ongkos mahal","kata a transportasi murah n nyaman nyata a sekarang mahal parah enggak usah begini cara a kalo mwu cari untung kasihan sama pegawai berada jlan bertaruh nyawa jalanan buat menghidupi keluarga a kasihan sama pelanggan penghasilan enggak seberapa bayar ongkos mahal","kata a transportasi murah n nyaman nyata a sekarang mahal parah enggak usah begini cara a kalo mwu cari untung kasihan sama pegawai ada jlan taruh nyawa jalan buat hidup keluarga a kasihan sama langgan hasil enggak berapa bayar ongkos mahal","['kata', 'a', 'transportasi', 'murah', 'n', 'nyaman', 'nyata', 'a', 'sekarang', 'mahal', 'parah', 'enggak', 'usah', 'begini', 'cara', 'a', 'kalo', 'mwu', 'cari', 'untung', 'kasihan', 'sama', 'pegawai', 'ada', 'jlan', 'taruh', 'nyawa', 'jalan', 'buat', 'hidup', 'keluarga', 'a', 'kasihan', 'sama', 'langgan', 'hasil', 'enggak', 'berapa', 'bayar', 'ongkos', 'mahal']","1.0"
"3dcaf0ff-9065-4cd3-bd91-29466c43354f","Don't download this app! Very bad app! Sooo bad because my phone can't use it anymore","don't download this app! very bad app! sooo bad because my phone can't use it anymore","don t download this app  very bad app  sooo bad because my phone can t use it anymore","don t download this app very bad app sooo bad because my phone can t use itu anymore","don t download this app very bad app sooo bad because my phone can t use anymore","don t download this app very bad app sooo bad because my phone can t use anymore","['don', 't', 'download', 'this', 'app', 'very', 'bad', 'app', 'sooo', 'bad', 'because', 'my', 'phone', 'can', 't', 'use', 'anymore']","1.0"
"7431159f-df39-48a9-8867-e1bd0eb32af1","Gmn nih bang saya mesen udh 2 jam GK dikirim² nama driver nya Amri siregar","gmn nih bang saya mesen udh 2 jam gk dikirim² nama driver nya amri siregar","gmn nih bang saya mesen udh   jam gk dikirim² nama driver nya amri siregar","bagaimana nih bang saya mesen sudah jam enggak dikirim² nama driver nya amri siregar","bagaimana nih bang mesen jam enggak dikirim² nama driver nya amri siregar","bagaimana nih bang mesen jam enggak kirim nama driver nya amri siregar","['bagaimana', 'nih', 'bang', 'mesen', 'jam', 'enggak', 'kirim', 'nama', 'driver', 'nya', 'amri', 'siregar']","1.0"
"30e19776-52ce-4adc-8ce4-cc83366b7edf","Kenapa saya kasih bintang 1...karna saya gak bisa liat pesan..buat ku tidak nyaman","kenapa saya kasih bintang 1...karna saya gak bisa liat pesan..buat ku tidak nyaman","kenapa saya kasih bintang     karna saya gak bisa liat pesan  buat ku tidak nyaman","kenapa saya kasih bintang karena saya enggak bisa lihat pesan buat ku tidak nyaman","kasih bintang enggak lihat pesan buat ku nyaman","kasih bintang enggak lihat pesan buat ku nyaman","['kasih', 'bintang', 'enggak', 'lihat', 'pesan', 'buat', 'ku', 'nyaman']","1.0"
"5656f63f-c454-4ab0-ac45-d218f4c0582f","Gimana si masa udah didownload gabisa digunain","gimana si masa udah didownload gabisa digunain","gimana si masa udah didownload gabisa digunain","bagaimana sih masa sudah didownload enggak bisa digunain","bagaimana sih masa didownload enggak digunain","bagaimana sih masa didownload enggak digunain","['bagaimana', 'sih', 'masa', 'didownload', 'enggak', 'digunain']","1.0"
"c32c89b0-8ed6-4cd3-96b7-828c9d21a13a","kenapa kalau pakai ovo sering di cancel, terus nominalnya tidak kembali. malah hilang, padahal dicancel dri driver nya","kenapa kalau pakai ovo sering di cancel, terus nominalnya tidak kembali. malah hilang, padahal dicancel dri driver nya","kenapa kalau pakai ovo sering di cancel  terus nominalnya tidak kembali  malah hilang  padahal dicancel dri driver nya","kenapa kalau pakai ovo sering di cancel terus nominalnya tidak kembali malah hilang padahal dicancel dari driver nya","kalau pakai ovo sering cancel terus nominalnya malah hilang padahal dicancel driver nya","kalau pakai ovo sering cancel terus nominal malah hilang padahal dicancel driver nya","['kalau', 'pakai', 'ovo', 'sering', 'cancel', 'terus', 'nominal', 'malah', 'hilang', 'padahal', 'dicancel', 'driver', 'nya']","1.0"
"60a650d9-c5d6-4af7-9dc7-70d2cb3b063a","Sistem nya parah... Sy belum merasa ngasih dan ngirim bintang,tau2 muncul bintang SATU untuk driver...PARAH...kasihan drivernya","sistem nya parah... sy belum merasa ngasih dan ngirim bintang,tau2 muncul bintang satu untuk driver...parah...kasihan drivernya","sistem nya parah    sy belum merasa ngasih dan ngirim bintang tau  muncul bintang satu untuk driver   parah   kasihan drivernya","sistem nya parah saya belum merasa mengasih dan mengirim bintang tau muncul bintang satu untuk driver parah kasihan drivernya","sistem nya parah merasa mengasih mengirim bintang tau muncul bintang satu driver parah kasihan drivernya","sistem nya parah rasa asih kirim bintang tau muncul bintang satu driver parah kasihan drivernya","['sistem', 'nya', 'parah', 'rasa', 'asih', 'kirim', 'bintang', 'tau', 'muncul', 'bintang', 'satu', 'driver', 'parah', 'kasihan', 'drivernya']","1.0"
