"reviewId","content","score","lowercased","cleaned","word_count","slang_handled","stopword_removed","stemmed","tokenized"
"07be79bb-e1b2-4295-81ea-f9d4c3615173","Titik lokasi tdk pada tempatnya sangat menyulitkan kegiatan kami yg menggunakan app Grab setoap kali","5.0","titik lokasi tdk pada tempatnya sangat menyulitkan kegiatan kami yg menggunakan app grab setoap kali","titik lokasi tdk pada tempatnya sangat menyulitkan kegiatan kami yg menggunakan app grab setoap kali","['titik', 'lokasi', 'tdk', 'pada', 'tempatnya', 'sangat', 'menyulitkan', 'kegiatan', 'kami', 'yg', 'menggunakan', 'app', 'grab', 'setoap', 'kali']","titik lokasi tidak pada tempatnya sangat menyulitkan kegiatan kami yang menggunakan app grab setoap kali","titik lokasi tempatnya menyulitkan kegiatan app grab setoap","titik lokasi tempat sulit giat app grab setoap","['titik', 'lokasi', 'tempat', 'sulit', 'giat', 'app', 'grab', 'setoap']"
"68cb205e-09be-43b5-876c-bbf04bf8f40b","Saat driver sudah ok tapi driver dimap terlihat tidak bergerak Sehingga membingungkan konsumen driver datang atau tidak Mohon untuk perbaikan nya...","5.0","saat driver sudah ok tapi driver dimap terlihat tidak bergerak sehingga membingungkan konsumen driver datang atau tidak mohon untuk perbaikan nya...","saat driver sudah ok tapi driver dimap terlihat tidak bergerak sehingga membingungkan konsumen driver datang atau tidak mohon untuk perbaikan nya","['saat', 'driver', 'sudah', 'ok', 'tapi', 'driver', 'dimap', 'terlihat', 'tidak', 'bergerak', 'sehingga', 'membingungkan', 'konsumen', 'driver', 'datang', 'atau', 'tidak', 'mohon', 'untuk', 'perbaikan', 'nya']","saat driver sudah ok tapi driver dimap terlihat tidak bergerak sehingga membingungkan konsumen driver datang atau tidak mohon untuk perbaikan nya","driver ok driver dimap bergerak membingungkan konsumen driver perbaikan","driver ok driver map gerak bingung konsumen driver baik","['driver', 'ok', 'driver', 'map', 'gerak', 'bingung', 'konsumen', 'driver', 'baik']"
"6e5f0fa3-56d2-4c86-8a9e-d4e82e46d836","Terimakasih grab. semoga semakin maju dan terdepan pelayanannya","5.0","terimakasih grab. semoga semakin maju dan terdepan pelayanannya","terimakasih grab  semoga semakin maju dan terdepan pelayanannya","['terimakasih', 'grab', 'semoga', 'semakin', 'maju', 'dan', 'terdepan', 'pelayanannya']","terimakasih grab semoga semakin maju dan terdepan pelayanannya","terimakasih grab semoga maju terdepan pelayanannya","terimakasih grab moga maju depan layan","['terimakasih', 'grab', 'moga', 'maju', 'depan', 'layan']"
"2ad566fa-105f-4a88-a768-0d96f655fe79","Mantaapp skr grab ongkos lbh murah ga sprt dl mdh²an ga akan naik lg dan sllu memberikan kenyamanan untuk para pengguna grab","5.0","mantaapp skr grab ongkos lbh murah ga sprt dl mdh²an ga akan naik lg dan sllu memberikan kenyamanan untuk para pengguna grab","mantaapp skr grab ongkos lbh murah ga sprt dl mdh²an ga akan naik lg dan sllu memberikan kenyamanan untuk para pengguna grab","['mantaapp', 'skr', 'grab', 'ongkos', 'lbh', 'murah', 'ga', 'sprt', 'dl', 'mdh²an', 'ga', 'akan', 'naik', 'lg', 'dan', 'sllu', 'memberikan', 'kenyamanan', 'untuk', 'para', 'pengguna', 'grab']","mantaapp sekarang grab ongkos lebih murah enggak seperti dulu mdh²an enggak akan naik lagi dan selalu memberikan kenyamanan untuk para pengguna grab","mantaapp grab ongkos murah mdh²an kenyamanan pengguna grab","mantaapp grab ongkos murah mdh an nyaman guna grab","['mantaapp', 'grab', 'ongkos', 'murah', 'mdh', 'an', 'nyaman', 'guna', 'grab']"
"ec9afa32-ee1f-417e-859f-0078083d86ac","senang mengunakan aplikasi ini, dan sangat membantu","5.0","senang mengunakan aplikasi ini, dan sangat membantu","senang mengunakan aplikasi ini  dan sangat membantu","['senang', 'mengunakan', 'aplikasi', 'ini', 'dan', 'sangat', 'membantu']","senang mengunakan aplikasi ini dan sangat membantu","senang mengunakan aplikasi membantu","senang mengunakan aplikasi bantu","['senang', 'mengunakan', 'aplikasi', 'bantu']"
"a96998e4-588d-45af-8c08-1ddd082d126b","mantap ayam gulai & perkedel, cuma sayang hari ini perkedel hbs di menu","5.0","mantap ayam gulai & perkedel, cuma sayang hari ini perkedel hbs di menu","mantap ayam gulai   perkedel  cuma sayang hari ini perkedel hbs di menu","['mantap', 'ayam', 'gulai', 'perkedel', 'cuma', 'sayang', 'hari', 'ini', 'perkedel', 'hbs', 'di', 'menu']","mantap ayam gulai perkedel cuma sayang hari ini perkedel habis di menu","mantap ayam gulai perkedel sayang perkedel habis menu","mantap ayam gulai perkedel sayang perkedel habis menu","['mantap', 'ayam', 'gulai', 'perkedel', 'sayang', 'perkedel', 'habis', 'menu']"
"e7dabe91-b20a-487b-9183-2f08a0ccf9b0","baru dipake lagi ternyata banyaj banget diskonnya","5.0","baru dipake lagi ternyata banyaj banget diskonnya","baru dipake lagi ternyata banyaj banget diskonnya","['baru', 'dipake', 'lagi', 'ternyata', 'banyaj', 'banget', 'diskonnya']","baru dipakai lagi ternyata banyaj banget diskonnya","dipakai banyaj banget diskonnya","pakai banyaj banget diskon","['pakai', 'banyaj', 'banget', 'diskon']"
"25001287-82bf-4532-8719-3313679d3963","Drivernya enakan , Mungkin karena ibu muda kali🤭🙏","5.0","drivernya enakan , mungkin karena ibu muda kali🤭🙏","drivernya enakan   mungkin karena ibu muda kali","['drivernya', 'enakan', 'mungkin', 'karena', 'ibu', 'muda', 'kali']","drivernya enakan mungkin karena ibu muda kali","drivernya enakan muda","drivernya enak muda","['drivernya', 'enak', 'muda']"
"598ab6ac-46d9-4c06-adaf-402a2b509225","Alhamdulilah.. mendapatkan pelayanane yang sangat baik dan ramah,terimakasih orang baik,","5.0","alhamdulilah.. mendapatkan pelayanane yang sangat baik dan ramah,terimakasih orang baik,","alhamdulilah   mendapatkan pelayanane yang sangat baik dan ramah terimakasih orang baik","['alhamdulilah', 'mendapatkan', 'pelayanane', 'yang', 'sangat', 'baik', 'dan', 'ramah', 'terimakasih', 'orang', 'baik']","alhamdulilah mendapatkan pelayanane yang sangat baik dan ramah terimakasih orang baik","alhamdulilah pelayanane ramah terimakasih","alhamdulilah pelayanane ramah terimakasih","['alhamdulilah', 'pelayanane', 'ramah', 'terimakasih']"
"3a7f3702-4496-46bb-8d5e-ecea518c48a2","Iko ma i ni kalo mmm Umi bilang kalau","5.0","iko ma i ni kalo mmm umi bilang kalau","iko ma i ni kalo mmm umi bilang kalau","['iko', 'ma', 'i', 'ni', 'kalo', 'mmm', 'umi', 'bilang', 'kalau']","iko sama i nih kalo mmm umi bilang kalau","iko nih kalo mmm umi bilang","iko nih kalo mmm umi bilang","['iko', 'nih', 'kalo', 'mmm', 'umi', 'bilang']"
